symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap,bid,ask,delta,theta,vega,rho,epsilon,lambda,gamma,vanna,charm,vomma,veta,vera,speed,zomma,color,ultima,d1,d2,dual_delta,dual_gamma,implied_vol,iv_error,underlying_timestamp,underlying_price,bid_implied_vol,midpoint,bar_iv,ask_implied_vol,last_day_OI,timestamp_oi,effective_date_oi,file_date,file_path,total_rows
QQQ,2025-12-19,632.0,call,2025-12-09 09:20:00,5.06,5.06,5.06,5.06,1,1,4.9,5.05,5.06,0.3836,-0.3908,39.5225,6.4337,-6.5721,47.5075,0.0199,0.6741,-2.7662,20.6568,1.0051,0.0,0.0,0.0,-0.1001,-100.0,-0.296,-0.3266,-0.3715,0.0,0.1849,-0.0001,2025-12-09 09:20:00,625.33,0.1849,5.05,0.1849,0.1852,2840.0,2025-12-09 01:30:01,2025-12-08,2025-12-09,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-09T00-00-00Z-QQQ-option-5m_part04.csv,52709
QQQ,2026-06-30,500.0,put,2025-12-09 10:30:00,0.0,0.0,0.0,0.0,0,0,8.69,8.39,8.59,-0.1134,-0.0578,89.3791,-43.9403,39.2413,-8.3511,0.0013,-0.6311,0.1372,354.5469,43.65,0.0,0.0,0.0,-2.8553,-100.0,1.2083,0.9851,0.1587,0.0001,0.3,0.0,2025-12-09 10:30:00,624.96,0.2989,8.49,0.3,0.3011,1605.0,2025-12-09 01:30:00,2025-12-08,2025-12-09,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-09T00-00-00Z-QQQ-option-5m_part05.csv,52733
QQQ,2028-01-21,840.0,put,2025-12-09 11:00:00,0.0,0.0,0.0,0.0,0,0,215.33,214.7,217.5,-0.5866,-0.011,354.3209,-1234.3253,776.6685,-1.697,0.0013,0.8318,-0.0958,165.708,445.4526,0.0,0.0,0.0,-102.36,-100.0,-0.2189,-0.6873,0.6938,0.0001,0.3218,0.0,2025-12-09 11:00:00,625.11,0.3178,216.1,0.3218,0.3257,1.0,2025-12-09 01:30:00,2025-12-08,2025-12-09,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-09T00-00-00Z-QQQ-option-5m_part06.csv,22227
QQQ,2025-12-24,595.0,put,2025-12-10 05:35:00,0.0,0.0,0.0,0.0,0,0,2.08,2.17,2.2,-0.1455,-0.223,27.8741,-3.5607,3.4771,-41.5712,0.008,-0.9861,2.8136,127.0132,0.144,0.0,0.0,0.0,-0.1203,-100.0,1.0557,1.0099,0.156,0.0,0.234,0.0003,2025-12-10 05:35:00,622.91,0.2336,2.18,0.234,0.2346,,,,2025-12-10,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-10T00-00-00Z-QQQ-option-5m_part01.csv,53194
QQQ,2026-01-16,640.0,put,2025-12-10 06:40:00,0.0,0.0,0.0,0.0,0,0,22.66,22.02,22.37,-0.6382,-0.1347,74.4252,-42.6052,40.3559,-17.941,0.0105,0.8614,-1.0159,60.5139,6.1501,0.0,0.0,0.0,-0.6692,-100.0,-0.3537,-0.4105,0.6567,0.0,0.1786,0.0,2025-12-10 06:40:00,623.77,0.1763,22.19,0.1786,0.181,6894.0,2025-12-10 01:30:00,2025-12-09,2025-12-10,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-10T00-00-00Z-QQQ-option-5m_part02.csv,52544
QQQ,2026-05-15,625.0,put,2025-12-10 07:45:00,0.0,0.0,0.0,0.0,0,0,31.49,31.1,31.27,-0.4325,-0.0812,159.7579,-127.749,114.5086,-8.6484,0.0044,-0.0476,-0.0946,3.2924,30.9369,0.0,0.0,0.0,-7.6939,-100.0,0.17,0.0266,0.4813,0.0,0.2199,0.0,2025-12-10 07:45:00,623.46,0.2194,31.18,0.2199,0.2205,734.0,2025-12-10 01:30:01,2025-12-09,2025-12-10,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-10T00-00-00Z-QQQ-option-5m_part03.csv,52565
QQQ,2025-12-10,643.0,put,2025-12-10 08:55:00,0.0,0.0,0.0,0.0,0,0,19.28,19.29,20.16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159,2025-12-10 08:55:00,622.96,0.0,19.72,0.0,1.0953,0.0,2025-12-10 01:30:01,2025-12-09,2025-12-10,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-10T00-00-00Z-QQQ-option-5m_part04.csv,52527
QQQ,2025-12-19,480.0,call,2025-12-10 10:00:00,0.0,0.0,0.0,0.0,0,0,144.45,148.33,149.47,0.9889,-0.1731,2.863,11.646,-15.3175,4.172,0.0003,-0.0816,1.2668,18.4262,0.1584,0.0,0.0,0.0,-0.0239,46.848,2.2893,2.1682,-0.9839,0.0,0.7712,0.0,2025-12-10 10:00:00,628.14,0.0,148.9,0.7712,0.9063,8125.0,2025-12-10 01:30:02,2025-12-09,2025-12-10,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-10T00-00-00Z-QQQ-option-5m_part05.csv,52545
QQQ,2028-01-21,820.0,put,2025-12-10 11:00:00,0.0,0.0,0.0,0.0,0,0,193.37,190.0,195.0,-0.5839,-0.0087,355.9886,-1182.2691,775.1164,-1.9037,0.0014,0.8457,-0.0946,163.7288,442.332,0.0,0.0,0.0,-97.9817,-100.0,-0.2121,-0.6442,0.6816,0.0001,0.2971,0.0,2025-12-10 11:00:00,627.53,0.29,192.5,0.2971,0.3041,151.0,2025-12-10 01:30:01,2025-12-09,2025-12-10,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-10T00-00-00Z-QQQ-option-5m_part06.csv,50650
QQQ,2026-12-18,489.78,call,2025-12-11 05:30:00,0.0,0.0,0.0,0.0,0,0,0.0,162.01,163.85,0.8748,-0.0855,129.5099,389.2434,-555.2978,3.344,0.0012,-0.6645,0.0609,480.4113,112.1787,0.0,0.0,0.0,-0.8671,-100.0,1.1497,0.8757,-0.7797,0.0001,0.2714,0.0,2025-12-11 05:30:00,622.77,0.2642,162.93,0.2714,0.2784,855.0,2025-12-11 01:30:01,2025-12-10,2025-12-11,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-11T00-00-00Z-QQQ-option-5m_part01.csv,53135
QQQ,2026-01-30,620.0,put,2025-12-11 06:35:00,0.0,0.0,0.0,0.0,0,0,15.57,15.57,15.66,-0.455,-0.1419,91.004,-40.803,38.6647,-18.0826,0.0091,-0.0903,-0.1453,2.342,5.5262,0.0,0.0,0.0,-1.1879,-49.6183,0.1129,0.043,0.4804,0.0,0.1888,0.0,2025-12-11 06:35:00,620.27,0.1883,15.61,0.1888,0.1893,898.0,2025-12-11 01:30:01,2025-12-10,2025-12-11,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-11T00-00-00Z-QQQ-option-5m_part02.csv,52568
QQQ,2025-12-31,700.0,call,2025-12-11 07:40:00,0.0,0.0,0.0,0.0,0,0,0.04,0.03,0.04,0.0036,-0.0074,1.6047,0.1241,-0.1257,78.2761,0.0004,0.1665,-0.2826,65.1569,0.5697,0.0,0.0,0.0,-0.0047,100.0,-2.68,-2.7221,-0.0032,0.0,0.1796,-0.0227,2025-12-11 07:40:00,623.57,0.1796,0.03,0.1796,0.1855,4192.0,2025-12-11 01:30:01,2025-12-10,2025-12-11,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-11T00-00-00Z-QQQ-option-5m_part03.csv,52581
QQQ,2025-12-18,602.0,put,2025-12-11 08:45:00,0.0,0.0,0.0,0.0,0,0,1.16,0.83,0.85,-0.0964,-0.2172,14.7858,-1.1716,1.1555,-71.7507,0.0093,-1.0282,5.4577,115.8272,-0.0845,0.0,0.0,0.0,-0.029,-100.0,1.302,1.2727,0.1014,0.0,0.2115,-0.0003,2025-12-11 08:45:00,624.7,0.2109,0.84,0.2115,0.2122,202.0,2025-12-11 01:30:00,2025-12-10,2025-12-11,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-11T00-00-00Z-QQQ-option-5m_part04.csv,52630
QQQ,2028-01-21,530.0,put,2025-12-11 09:45:00,0.0,0.0,0.0,0.0,0,0,35.65,34.03,35.39,-0.2065,-0.0287,259.5051,-346.3064,272.9861,-3.7231,0.0011,-0.4557,0.0021,339.0468,328.048,0.0,0.0,0.0,-30.4575,-100.0,0.8182,0.4283,0.3093,0.0002,0.2682,0.0,2025-12-11 09:45:00,625.54,0.2656,34.71,0.2682,0.2709,166.0,2025-12-11 01:30:01,2025-12-10,2025-12-11,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-11T00-00-00Z-QQQ-option-5m_part05.csv,52687
