symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
SPY,2022-02-04,439.0,PUT,2022-02-02T17:24:02.075,2022-02-02T16:14:57.789,0.38,0.54,0.1,0.3,5466,671,166,60,0.29,50,168,46,0.3,50
SPY,2022-02-04,439.0,PUT,2022-02-02T17:39:16.985,2022-02-02T16:14:57.789,0.38,0.54,0.1,0.3,5466,671,166,60,0.29,50,168,46,0.3,50
SPY,2022-02-25,414.0,PUT,2022-02-02T17:24:02.075,2022-02-02T15:57:15.04,1.52,1.52,1.02,1.05,129,11,162,69,1.39,50,176,1,1.42,50
SPY,2022-02-25,414.0,PUT,2022-02-02T17:39:16.985,2022-02-02T15:57:15.04,1.52,1.52,1.02,1.05,129,11,162,69,1.39,50,176,1,1.42,50
SPY,2024-01-19,510.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,10,9,23.5,50,20,9,27.5,50
SPY,2024-01-19,510.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,10,9,23.5,50,20,9,27.5,50
SPY,2022-03-02,448.0,PUT,2022-02-02T17:24:02.075,2022-02-02T16:14:21.224,6.49,7.17,6.0,7.0,206,26,40,69,6.88,50,25,7,6.96,50
SPY,2022-03-02,448.0,PUT,2022-02-02T17:39:16.985,2022-02-02T16:14:21.224,6.49,7.17,6.0,7.0,206,26,40,69,6.88,50,25,7,6.96,50
SPY,2022-06-17,205.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,152,69,0.5,50,152,69,0.51,50
SPY,2022-06-17,205.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,152,69,0.5,50,152,69,0.51,50
SPY,2024-12-20,430.0,PUT,2022-02-02T17:24:02.075,2022-02-02T15:33:22.445,50.0,50.0,50.0,50.0,1,1,10,9,49.5,50,10,9,53.0,50
SPY,2024-12-20,430.0,PUT,2022-02-02T17:39:16.985,2022-02-02T15:33:22.445,50.0,50.0,50.0,50.0,1,1,10,9,49.5,50,10,9,53.0,50
SPY,2023-12-15,490.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,274,9,65.45,50,20,9,69.0,50
SPY,2023-12-15,490.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,274,9,65.45,50,20,9,69.0,50
SPY,2024-12-20,555.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,10,9,20.5,50,10,9,24.0,50
SPY,2024-12-20,555.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,10,9,20.5,50,10,9,24.0,50
SPY,2022-02-23,436.0,CALL,2022-02-02T17:24:02.075,2022-02-02T09:30:00.907,22.41,22.41,22.41,22.41,1,1,35,42,21.11,50,35,42,21.44,50
SPY,2022-02-23,436.0,CALL,2022-02-02T17:39:16.985,2022-02-02T09:30:00.907,22.41,22.41,22.41,22.41,1,1,35,42,21.11,50,35,42,21.44,50
SPY,2022-02-07,497.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,300,1,42.49,50,300,1,43.31,50
SPY,2022-02-07,497.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,300,1,42.49,50,300,1,43.31,50
SPY,2022-03-07,462.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,34,9,13.16,50,35,65,13.51,50
SPY,2022-03-07,462.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,34,9,13.16,50,35,65,13.51,50
SPY,2022-03-18,516.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,24,31,62.7,50,24,31,63.85,50
SPY,2022-03-18,516.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,24,31,62.7,50,24,31,63.85,50
SPY,2022-06-30,555.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,559,9,0.18,50,563,9,0.26,50
SPY,2022-06-30,555.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,559,9,0.18,50,563,9,0.26,50
SPY,2022-02-02,437.0,PUT,2022-02-02T17:24:02.075,2022-02-02T15:52:31.435,0.02,0.03,0.01,0.01,4302,294,0,11,0.0,50,892,9,0.01,50
SPY,2022-02-02,437.0,PUT,2022-02-02T17:39:16.985,2022-02-02T15:52:31.435,0.02,0.03,0.01,0.01,4302,294,0,11,0.0,50,892,9,0.01,50
SPY,2022-03-02,465.0,CALL,2022-02-02T17:24:02.075,2022-02-02T16:10:00.939,3.91,4.62,3.49,3.58,158,41,35,7,3.52,50,35,7,3.58,50
SPY,2022-03-02,465.0,CALL,2022-02-02T17:39:16.985,2022-02-02T16:10:00.939,3.91,4.62,3.49,3.58,158,41,35,7,3.52,50,35,7,3.58,50
SPY,2022-02-18,630.0,CALL,2022-02-02T17:24:02.075,2022-02-02T13:41:25.504,0.01,0.01,0.01,0.01,9,1,0,22,0.0,50,4125,9,0.01,50
SPY,2022-02-18,630.0,CALL,2022-02-02T17:39:16.985,2022-02-02T13:41:25.504,0.01,0.01,0.01,0.01,9,1,0,22,0.0,50,4125,9,0.01,50
